Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
Tai Sin Electric,500,TAIS.SI,145.841,276.414,14.69,4.76,Industrial Goods,60,3.28,8.62,10.53,-7.35,3.63,5.45,8.62,14.73,,0.81
TalkMed,5G3,TALK.SI,566.764,71.128,18.39,3.02,Healthcare Services,69,10.26,-1.15,-5.49,-14.85,38.87,39.93,18.26,5.83,,8.57
Tat Seng Pkg,T12,TASE.SI,84.888,276.132,4.89,3.7,Applied Resources,45,-2.7,20,22.73,8,6.68,12.68,3.05,62.99,,0.62
TCIL HK$,T15,0693.HK,4167.55,13405.927,102.88,4.83,Retailers,,-0.48,7.81,11.89,-1.9,0.91,0.38,5.81,37.48,-9.81,0.44
Tech Oil & Gas,5CQ,TECH.SI,16.777,65.026,,,Energy - Fossil Fuels,24,,,,,-9.13,-7.26,11.17,154.58,-16.52,2.44
Teckwah,561,TECK.SI,150.64,172.499,15.52,2.33,Industrial & Commercial Services,66,0.78,30.3,81.69,46.59,6.69,6.19,4.55,17.18,,0.63
TEE Intl,M1Z,TEEI.SI,18.796,329.945,,,Industrial & Commercial Services,69,-9.38,-14.71,26.09,-34.09,-15.61,-97.06,,381.74,32.33,0.54
Teho Intl,5OQ,TEHO.SI,10.594,59.265,8.93,,Industrial Goods,64,0,55.17,221.43,221.43,2,8.29,3.62,271.64,8.98,
TeleChoice Intl,T41,TCIN.SI,86.34,260.73,44.08,5.26,Technology Equipment,66,0,-1.04,-4.04,0,0.77,3.03,10.79,59.04,,1.41
ThaiBev,Y92,TBEV.SI,14553.562,11399.1,14.15,2.97,Food & Beverages,64,-4.13,-13.43,-16.55,-33.71,10.17,18.04,10.05,178.42,0.99,3.95
Thakral,AWI,THAK.SI,54.961,100.452,8.4,7.14,Real Estate,84,0,-1.18,0,-7.69,17.63,4.79,2.78,38.49,,0.48
The Place Hldg,E27,THEP.SI,64.687,2.169,25.58,,Cyclical Consumer Services,75,-8.33,-8.33,-15.38,-35.29,116.23,2.7,19.55,0.25,,1.72
TheHourGlass,AGS,HRGS.SI,479.408,749.451,6.29,2.94,Retailers,71,0,3.03,4.62,-15,10.34,13.04,4.31,2.67,3.96,0.84
Thomson Medical,A50,THOS.SI,1269.169,216.13,,,Healthcare Services,63,0,-14.29,-21.31,-18.64,-45.35,-18.83,,103.14,,2.93
Tianjin ZX USD,T14,TIAN.SI,1622.26,1008.124,7.12,,,65,2.48,-6.78,23.13,1.23,9.12,11.34,15.22,0.09,-0.43,0.7
TIH,T55,TIHL.SI,53.171,2.841,,4.55,Banking & Investment Services,55,-2.22,0,4.76,10,-79.87,-1.88,,0.25,-70.48,0.54
Tiong Seng,BFI,TISE.SI,66.645,338.032,,3.45,Industrial & Commercial Services,63,1.4,-9.38,-10.49,-27.5,-0.47,-0.51,3.72,37.74,,0.38
Tiong Woon,BQM,TION.SI,90.572,124.685,11.95,0.77,Industrial Goods,47,-2.5,4,-2.5,11.43,6.04,2.96,2.26,40.65,,0.34
TLV,42L,TLVH.SI,28.841,,,,Retailers,76,-3.77,2,2,-19.05,,,,41.03,,0.43
Top Global,BHO,TPGB.SI,48.207,50.215,,,Real Estate,66,-3.23,-5.06,-11.24,-12.28,-5.46,-1.94,25.74,7.84,,0.23
Top Glove,BVA,TPGC.KL,76393.133,7236.317,51.25,1.27,Healthcare Services,,17.04,21.93,312.06,545.62,26.31,42.33,36.15,95.42,50.72,4.79
Tosei,S2D,8923.T,50977.129,71294.914,15.38,4.01,Real Estate,,6.5,21.58,5.54,-24.28,4.58,5.67,11.64,152.94,15.03,0.99
Transcorp,T19,TCHL.SI,1.347,1.554,,,Automobiles & Auto Parts,28,0,0,0,0,-196.65,-106.75,,69.87,-59.32,0.81
Transit Concrete,570,TMCL.SI,4.732,9.091,,,Mineral Resources,56,-15,-15,-16.05,-15,-20.1,-14.81,,0.07,1.22,1.06
Travelite,BCZ,TRHL.SI,5.042,42.571,,,Retailers,56,0,-27.27,-27.27,,-14.56,-28.25,,42.81,-0.49,
Trek 2000 Intl,5AB,TRKL.SI,29.171,37.43,,,Technology Equipment,42,2.27,28.57,66.67,23.29,-9.28,-6.09,,0,77.4,0.44
Trendlines,42T,THET.SI,71.118,6.606,,,Banking & Investment Services,74,1.12,-11.76,-5.26,2.27,-54.47,-2.91,,6.97,,0.41
TrickleStar,CYW,TRIC.SI,26.287,19.609,17.86,,Industrial Goods,57,-8.57,0,-5.88,6.67,6.79,13.8,17.5,0,6.46,3.41
Tritech,5G9,TTGL.SI,13.508,10.644,,,Industrial & Commercial Services,78,0,-6.67,7.69,-17.65,-204.07,-100.79,,133.19,,1.56
Triyards,RC5,TRIY.SI,27.378,157.799,,,Energy - Fossil Fuels,46,,,,,-139.81,-114.28,,67.12,-64.23,0.28
TSH,KUH,TSHC.SI,4.524,5.744,,,Cyclical Consumer Services,,0,-27.14,-2.86,-54.67,-5.79,-3.99,4.51,20.47,-19.22,1.25
TT Intl,T09,TINL.SI,14.57,85.576,,,Retailers,37,,,,,-40.89,,,,-39.48,
TTJ,K1Q,TTJH.SI,47.25,77.683,,2.96,Industrial & Commercial Services,60,7.14,-12.9,18.42,-38.64,-20.43,-8.47,,5.74,,0.59
Tuan Sing,T24,TSHS.SI,371.767,251.171,9.63,1.94,Real Estate,106,1.64,8.77,26.53,-6.06,14.89,3.49,8.07,152.59,,0.38
Tung Lok Rest,540,TGLK.SI,31.282,78.076,,,Cyclical Consumer Services,63,3.64,-5,-22.45,-27.85,-3.5,-18.62,3.76,14.48,-3.17,2.98
Tye Soon,BFU,TYES.SI,8.552,203.564,10.72,,Automobiles & Auto Parts,66,8.89,-1.01,84.91,-20.97,0.42,1.54,1.47,165.28,-7.54,0.22
UGHealthcare,8K7,UGHE.SI,621.128,144.209,44.63,0.09,Healthcare Services,,31.74,84.76,1342.86,1736.37,10.46,28.35,35.4,90.58,,0.78
UIC,U06,UICS.SI,3352.442,720.788,41.61,1.71,Real Estate,54,10.38,5.41,3.54,-16.73,10.78,1.12,26.56,12.97,,0.59
UMS,558,UMSH.SI,547.158,148.524,13.41,4.41,Technology Equipment,66,6.25,12.71,31.47,55.37,27.48,16.43,11.43,27.35,30.54,1.45
Uni-Asia Grp,CHJ,UAFC.SI,34.148,121.671,,9.66,Real Estate,71,2.35,-15.53,-13,-39.16,-11.36,-8.62,1.99,350.88,,0.36
Union Gas,1F2,UNIO.SI,98.44,87.619,8.59,4.77,Utilities,72,22.86,45.76,86.96,75.51,13.07,37.13,5.89,0.66,31.21,2.06
Union Steel,BLA,UNIS.SI,12.995,59.742,,,Mineral Resources,73,-15.38,-1.49,0,15.79,-13.05,-13.24,,49.61,,0.19
United Food,AZR,UTDF.SI,6.595,4.8,,,Food & Beverages,34,-18.6,-12.5,-14.63,-30,-33.53,-2.87,,4.05,-66.88,0.24
United Global,43P,UNIT.SI,132.643,53.323,1.54,2.86,Energy - Fossil Fuels,88,0,2.44,-2.61,-10.56,161.94,92.24,1.52,33.42,,2.73
Universal Res,BGO,UNIV.SI,4.088,0.01,,,Energy - Fossil Fuels,41,,,,,-714990,-64.96,,0,-99.94,0.03
UnUsUaL,1D1,UNUS.SI,139.968,61.943,23.05,,Cyclical Consumer Services,57,-0.73,-6.85,-5.56,-47.69,9.79,10.84,17.57,7.54,8.8,6.42
UOA,EH5,UOS.AX,380.189,503.699,17.4,2.53,Real Estate,,10.49,10.49,11.27,0.64,22.1,4.39,3.18,8.73,-21.16,0.73
UOB,U11,UOBH.SI,33004.75,11628.828,9.15,4.8,Banking & Investment Services,113,2.03,-4.67,-1.21,-23.99,36.43,9.06,7.99,82.19,-5.09,1.11
UOB Kay Hian,U10,UOKH.SI,1095.055,470.269,9.26,3.21,Banking & Investment Services,52,3.15,11.02,11.02,8.26,24.94,7.64,8.19,65.13,,0.67
UOI,U13,UOIS.SI,397.508,47.052,7.25,2.62,Insurance,90,-1.22,-4.13,2.45,-7.9,61.98,7.18,12.93,0.81,-16.2,1.06
UOL,U14,UTOS.SI,5728.276,1937.986,44.45,2.58,Real Estate,86,1.65,-0.88,-1.31,-10.07,8.8,1.33,19.44,49.11,,0.65
UOL  A,MKO,,,,,,,,,,,,,,,,,
USP Group,BRS,USPG.SI,9.001,32.264,,,Energy - Fossil Fuels,27,39.44,-2.94,86.79,182.86,-13.1,-14.56,,150.57,-20.02,0.23
UtdHampshReitUSD,ODBU,UNIE.SI,289.435,,,3.04,Real Estate,,0.86,2.63,-7.87,,,,,,,
Vallianz,WPC,VHLD.SI,22.905,256.156,,,Transportation,68,-18,-28.07,-30.51,-57.29,-72.58,-114.57,,176.53,,0.43
ValueMax,T6I,VAMG.SI,174.632,225.402,6.41,5.37,Banking & Investment Services,56,-3.23,5.26,7.14,0,11.82,12.2,5.36,132.63,,0.74
Valuetronics,BN2,VLUE.SI,252.37,412.555,8.03,6.02,Technology Equipment,70,8.41,1.75,-7.2,-9.38,7.6,14.97,6.19,0,,1.45
Venture,V03,VENM.SI,6048.571,3166.902,19.38,3.61,Technology Equipment,94,7.94,24.05,30.34,30.1,9.86,12.7,17.06,0.68,,1.97
Versalink,40N,VERS.SI,13.506,16.165,,,Industrial & Commercial Services,65,0,-32.89,-32.89,-32.89,-2.54,-2.59,19.44,4.61,-2.74,1.01
Vibrant Group,BIP,VIBR.SI,62.118,145.455,,,Transportation,46,-1.11,-21.24,-7.29,-29.37,-23.12,-11.76,,121.52,-47.58,0.43
VibroPower,BJD,VIBO.SI,10.467,6.015,,,Industrial Goods,69,1.27,11.11,39.13,46.84,-77.37,-29.77,,53.86,-60.87,0.23
VICOM Ltd,WJP,VCOM.SI,719.773,92.44,29.71,2.99,Industrial & Commercial Services,,-0.49,-7.73,4.64,5.18,26.66,19.46,22.55,26.35,,4.7
Vicplas Intl,569,VICP.SI,165.288,88.849,33.06,1.15,Healthcare Services,52,-4.41,157.94,232.16,281.79,5.51,8.15,15.8,14.79,10.83,0.61
Viking Offshore,557,VIKO.SI,4.427,22.093,,,Energy - Fossil Fuels,71,,,,,-139.18,-163.83,,95.09,-7.25,
Vividthree,OMK,VIVI.SI,21.043,6.136,,,Cyclical Consumer Services,46,-10,-21.25,-5.97,-53.33,-12.39,-3.04,212.1,5.88,,2.27
Wee Hur,E3B,WHHL.SI,183.44,195.489,4.62,3.57,Industrial & Commercial Services,63,5.95,5.95,3.7,-10.91,19.6,10.06,3.13,59.97,,0.52
Willas-Array,BDR,0854.HK,177.231,3175.259,,,Technology Equipment,72,7.77,-18.43,6.67,-20.31,-2.28,-11.69,,153.01,,0.41
Wilmar Intl,F34,WLIL.SI,28715.322,61202.879,14.57,3.01,Food & Beverages,78,2.75,4.42,31.29,26.12,3.37,8.8,8.56,147.96,,1.07
Wilton Resources,5F7,WILT.SI,79.259,0.634,,,Mineral Resources,61,0,0,10.71,24,-3386.07,-353.96,,253.24,,6.86
Wing Tai,W05,WTHS.SI,1437.008,371.026,,1.66,Real Estate,91,2.84,3.43,7.1,-10.4,4.23,0.09,34.79,17.87,,0.45
Winmark Inv,40R,WINM.SI,162.446,4.23,,,Industrial & Commercial Services,15,,,,,-74.2,-279.45,,118.59,9.45,
Wong Fong Ind,1A1,WONG.SI,37.365,52.244,22.78,3.27,Industrial Goods,67,6,12.77,28.23,-8.09,3.46,3.28,7.33,22.29,-8.2,0.67
World Class Gbl,1E6,WORL.SI,87.008,145.328,8.71,,Real Estate,62,-20.83,-26.92,-20.83,-36.67,6.48,8.26,9.01,103.95,,1.44
World Precision,B49,WPML.SI,80.223,167.323,27.4,4.93,Industrial Goods,56,-9.09,-9.09,17.65,2.56,1.75,1.34,4.54,3.14,-4.27,0.27
XMH,BQF,XMHL.SI,8.016,53.964,,,Industrial Goods,64,-30,-41.67,0,-46.56,-15.44,-15.5,,123.52,,0.4
Y Ventures,1F1,YVEN.SI,16.515,39.913,,,Software & IT Services,67,-8.86,-23.4,2.86,-35.14,-2.83,-24.06,,65.49,34.48,7.53
Yamada Green Res,BJV,YAMR.SI,58.805,15.328,,,Food & Beverages,33,,,,,8.93,2.29,28.13,2.92,23.19,
Yanlord Land,Z25,YNLG.SI,2188.678,4070.24,4.03,6.07,Real Estate,58,-2.61,-15.79,5.66,-5.08,21.14,9.9,2.39,152.98,,0.5
Yeo Hiap Seng,Y03,YHSS.SI,440.732,340.435,,2.63,Food & Beverages,73,1.33,-11.11,-6.76,-13.08,-1.07,-0.6,35.07,3.63,,0.83
YHI Intl,BPF,YHII.SI,116.918,406.446,9.18,5.55,Automobiles & Auto Parts,61,9.59,25,33.33,15.94,3.11,4.95,3.98,42.05,,0.41
Yinda Infocomm,42F,YIND.SI,18.696,,,,Telecommunications Services,68,60.78,141.18,645.45,,,,,216.14,,1.24
Ying Li Intl,5DM,YING.SI,215.391,44.835,,,Real Estate,66,-2.33,-3.45,29.23,-15.15,-133.06,-9.38,,81.44,,0.52
Yoma Strategic,Z59,YOMA.SI,581.015,126.301,,,Real Estate,101,-7.14,-11.86,31.31,-20,-81.16,-12.46,,67.66,,0.83
Yongmao,BKX,YNMH.SI,63.188,195.152,5.22,1.41,Industrial Goods,64,-5.33,-23.66,7.58,-11.25,5.09,7.95,2.77,34.82,,0.22
Yongnam,AXB,YNAM.SI,43.376,154.521,,,Industrial & Commercial Services,71,-3.49,-6.74,-6.74,-44.3,-40.52,-29.74,,76.02,,0.37
Yunnan Energy,T43,1298.HK,515.067,188.197,,,Technology Equipment,43,-1.58,-4.1,-27.24,-33.21,-6.26,-4.27,,71.85,-61.8,3.1
YuuZoo Networks,AFC,YUUZ.SI,29.657,15.733,,,Software & IT Services,-12,,,,,-18.51,,21.06,,-4.17,
YZJ Shipbldg CNY,SO7,,,,,,,,,,,,,,,,,
YZJ Shipbldg SGD,BS6,YAZG.SI,3865.616,3759.349,7.47,4.64,Industrial Goods,74,-3,3.19,-3.96,2.11,14.49,8.26,6.06,17.64,-21.57,1.03
Zheneng Jinjiang,BWM,ZHEN.SI,998.787,750.315,13549.46,,Industrial & Commercial Services,70,24.55,31.73,47.31,15.13,0.33,0.01,9.01,129.04,,0.76
Zhongmin Baihui,5SR,ZBRG.SI,133.87,213.695,15.33,3.68,Retailers,63,7.09,15.25,7.09,-4.9,3.99,22.61,5.34,207.83,,
Zhongxin Fruit,5EG,ZHON.SI,22.227,35.389,32.76,,Food & Beverages,52,31.25,16.67,200,320,1.92,4,24.79,73.8,74.53,0.2
ZICO Hldgs,40W,ZICO.SI,32.848,22.238,,,Banking & Investment Services,64,-15.25,-14.53,-32.43,-24.81,-14.56,-7.89,79.53,60.39,,
